merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"1278","Well 95","1","18","1"," 0000000823","22","3","3","54","12","141","42","149","ab1a4d0dd4d48a2ba1077c4494791306","ee2178b2-1373-43d5-ba7b-845b8431cd7b","1"," 0000000823"
"690","Pad 127 Well 1","2","9","34"," 0000000162","11","1","1","19","1","62","17","31","c06d06da9666a219db15cf575aff2824","70cc6db7-4ddc-4fc0-8509-f7cc9dc4d515","1"," 0000000162"
"151","Pad 263 Well 2","2","9","1"," 0000000360","6","1","1","19","1","219","17","81","a8f15eda80c50adb0e71943adc8015cf","becefd47-f691-4c86-88c3-55bbb68c3365","1"," 0000000360"
"586","Pad 289 Well 2","2","9","34"," 0000000089","5","1","1","12","18","236","17","31","605ff764c617d3cd28dbbdd72be8f9a2","c7e69bd1-8952-4bd8-834c-adaa5123d7e4","1"," 0000000089"
"2104","Pad 15 Well 1","2","18","34"," 0000000157","0","7","5","92","20","380","17","31","e7e23670481ac78b3c4122a99ba60573","67cc1e21-3c87-4d38-9fde-21e74c51bb9e","1"," 0000000157"
"1105","Well 21","1","18","1"," 0000000911","22","3","3","54","12","105","42","149","af21d0c97db2e27e13572cbf59eb343d","166609de-3101-465b-b796-e03564860ce6","1"," 0000000911"
"212","Pad 186 Well 2","2","9","1"," 0000000452","8","1","1","19","1","21","17","81","1534b76d325a8f591b52d302e7181331","d0452b97-ff38-450d-a301-1d58e4efce5b","1"," 0000000452"
"437","Pad 229 Well 1","2","9","1"," 0000000312","8","1","1","28","1","257","17","81","fccb60fb512d13df5083790d64c4d5dd","54c30a06-740d-4ead-b0cb-8cc8c8fc0e28","1"," 0000000312"
"598","Pad 240 Well 3","2","9","1"," 0000000481","9","1","1","28","1","51","17","81","6aca97005c68f1206823815f66102863","84b98add-c01f-4170-a0a9-53096bf4c768","1"," 0000000481"
"1472","Well 156","1","18","2"," 0000000720","23","6","4","47","16","174","42","123","daa96d9681a21445772454cbddf0cac1","aba4c0a2-b9e1-4d2a-b6ce-a94099397ab7","1"," 0000000720"
"2146","Pad 385 Well 1","2","18","1"," 0000000862","0","3","2","53","11","348","42","149","936a40b7e8eea0dc537e5f2edee1387a","1d0cbaae-214b-4628-9588-45d197bb363d","1"," 0000000862"
"630","Pad 163 Well 1","2","9","34"," 0000000563","3","1","1","1","8","308","17","85","9cc138f8dc04cbf16240daa92d8d50e2","71dd486d-6db0-4a3c-a513-22e86ab09578","1"," 0000000563"
