propnum,allocid,propname,apinum,nri
"ee8374ec4e4ad797d42350c904d73077","1353","Pad 379 Well 1"," 0000000918","1"
"97275a23ca44226c9964043c8462be96","1476","Well 160",,"1"
"b1a59b315fc9a3002ce38bbe070ec3f5","261","Pad 221 Well 1"," 0000000183","1"
"621bf66ddb7c962aa0d22ac97d69b793","248","Pad 161 Well 1"," 0000000137","1"
"f516dfb84b9051ed85b89cdc3a8ab7f5","2309","Pad 386 Well 1"," 0000000961","1"
"7a6a74cbe87bc60030a4bd041dd47b78","1611","Well 237"," 0000000826","1"
"f033ab37c30201f73f142449d037028d","80","Pad 211 Well 2"," 0000000352","1"
"04048aeca2c0f5d84639358008ed2ae7","2223","Pad 4 Well 2"," 0000000213","0.96"
"acc3e0404646c57502b480dc052c4fe1","593","Pad 289 Well 4"," 0000000095","1"
"03c6b06952c750899bb03d998e631860","252","Pad 329 Well 1"," 0000000302","1"
"f2201f5191c4e92cc5af043eebfd0946","767","Pad 233 Well 1"," 0000000368","0.94"
"31b3b31a1c2f8a370206f111127c0dbd","1009","Well 7"," 0000000779","0.93"
"e19347e1c3ca0c0b97de5fb3b690855a","1115","Pad 350 Well 2",,"0.75"
"6150ccc6069bea6b5716254057a194ef","2276","Pad 38 Well 1"," 0000000232","1"
"69421f032498c97020180038fddb8e24","525","Pad 108 Well 1"," 0000000268","0.87"
"92cc227532d17e56e07902b254dfad10","92","Pad 244 Well 3"," 0000000379","1"
"e816c635cad85a60fabd6b97b03cbcc9","1480","Well 173"," 0000000699","0.76"
"8fecb20817b3847419bb3de39a609afe","675","Pad 184 Well 2"," 0000000444","1"
"b0f2ad44d26e1a6f244201fe0fd864d1","1668","Pad 405 Well 3"," 0000000920","0.85"
"facf9f743b083008a894eee7baa16469","1564","Well 217"," 0000000810","1"
"3a066bda8c96b9478bb0512f0a43028c","661","Pad 227 Well 3"," 0000000474","1"
"4ea06fbc83cdd0a06020c35d50e1e89a","770","Pad 165 Well 1"," 0000000557","1"
"6d3a1e06d6a06349436bc054313b648c","1487","Well 186"," 0000000707","1"
"8c7bbbba95c1025975e548cee86dfadc","644","Pad 188 Well 1"," 0000000117","1"
"13111c20aee51aeb480ecbd988cd8cc9","2219","Pad 367 Well 2"," 0000000947","0.87"
"072b030ba126b2f4b2374f342be9ed44","60","Pad 316 Well 1"," 0000000303","0.97"
"40b5f25a228570053bc64a043c3f1833","2299","Pad 376 Well 1"," 0000000869","1"
"069d3bb002acd8d7dd095917f9efe4cb","580","Pad 259 Well 1"," 0000000083","0.98"
"98dce83da57b0395e163467c9dae521b","93","Pad 244 Well 4"," 0000000380","1"
"5249ee8e0cff02ad6b4cc0ee0e50b7d1","2200","Pad 399 Well 1"," 0000000864","1"
"2cad8fa47bbef282badbb8de5374b894","2100","Pad 29 Well 1"," 0000000144","0.97"
"352fe25daf686bdb4edca223c921acea","399","Pad 98 Well 1"," 0000000395","0.8"
"70feb62b69f16e0238f741fab228fec2","1375","Pad 381 Well 1"," 0000000842","1"
"fb2fcd534b0ff3bbed73cc51df620323","1204","Well 67"," 0000000836","1"
"a684eceee76fc522773286a895bc8436","54","Pad 252 Well 3"," 0000000199","0.96"
"1b5230e3ea6d7123847ad55a1e06fffd","2119","Pad 66 Well 1"," 0000000516","1"
"248e844336797ec98478f85e7626de4a","432","Pad 106 Well 2"," 0000000309","0.81"
"bffc98347ee35b3ead06728d6f073c68","1483","Well 176"," 0000000704","1"
"0d7de1aca9299fe63f3e0041f02638a3","674","Pad 184 Well 1"," 0000000443","0.99"
"1d7f7abc18fcb43975065399b0d1e48e","154","Pad 263 Well 5"," 0000000358","1"
"c2ba1bc54b239208cb37b901c0d3b363","2255","Pad 89 Well 1"," 0000000224","1"
"2596a54cdbb555cfd09cd5d991da0f55","2167","Pad 83 Well 1"," 0000000556","1"
"ba2fd310dcaa8781a9a652a31baf3c68","524","Pad 239 Well 1"," 0000000354","1"
"6f4920ea25403ec77bee9efce43ea25e","2066","Pad 25 Well 1"," 0000000045","1"
"678a1491514b7f1006d605e9161946b1","1127","Pad 353 Well 1"," 0000000846","1"
"28e209b61a52482a0ae1cb9f5959c792","1332","Well 120"," 0000000815","0.93"
"49b8b4f95f02e055801da3b4f58e28b7","1504","Well 197"," 0000000698","1"
"c16a5320fa475530d9583c34fd356ef5","31","Pad 190 Well 2"," 0000000436","0.96"
"a96b65a721e561e1e3de768ac819ffbb","409","Pad 275 Well 4"," 0000000387","0.84"
"e2230b853516e7b05d79744fbd4c9c13","509","Pad 158 Well 3"," 0000000204","1"
"71a3cb155f8dc89bf3d0365288219936","677","Pad 286 Well 1"," 0000000526","0.92"
"f4b9ec30ad9f68f89b29639786cb62ef","94","Pad 237 Well 4"," 0000000369","1"
"aace49c7d80767cffec0e513ae886df0","1103","Pad 347 Well 1"," 0000000843","0.9"
"1e6e0a04d20f50967c64dac2d639a577","1100","Well 20"," 0000000795","0.82"
"a8c88a0055f636e4a163a5e3d16adab7","308","Pad 274 Well 4"," 0000000394","1"
"a2557a7b2e94197ff767970b67041697","189","Pad 183 Well 1"," 0000000446","0.8"
"cec6f62cfb44b1be110b7bf70c8362d8","1468","Well 167"," 0000000695","0.88"
"a96d3afec184766bfeca7a9f989fc7e7","2056","Pad 16 Well 1"," 0000000018","0.9"
"11b921ef080f7736089c757404650e40","556","Pad 306 Well 1"," 0000000298","1"
"296472c9542ad4d4788d543508116cbc","2070","Pad 50 Well 1"," 0000000051","0.9"
