propnum,allocid,propname,apinum,nri
"69adc1e107f7f7d035d7baf04342e1ca","207","Pad 294 Well 1"," 0000000294","1"
"729c68884bd359ade15d5f163166738a","1484","Well 177"," 0000000705","1"
"ff49cc40a8890e6a60f40ff3026d2730","1333","Pad 393 Well 1"," 0000000924","1"
"2eace51d8f796d04991c831a07059758","2059","Pad 26 Well 2",,"1"
"b5a1fc2085986034e448d2ccc5bb9703","1536","Well 210"," 0000000669","1"
"d5cfead94f5350c12c322b5b664544c1","730","Pad 180 Well 1"," 0000000533","1"
"69dafe8b58066478aea48f3d0f384820","2312","Pad 403 Well 2"," 0000000957","1"
"046ddf96c233a273fd390c3d0b1a9aa4","2311","Pad 403 Well 1"," 0000000956","0.83"
"03f544613917945245041ea1581df0c2","1089","Well 16"," 0000000886","1"
"ffeed84c7cb1ae7bf4ec4bd78275bb98","1126","Well 39"," 0000000840","1"
"26f5bd4aa64fdadf96152ca6e6408068","2090","Pad 22 Well 2"," 0000000126","1"
"1679091c5a880faf6fb5e6087eb1b2dc","6","Pad 335 Well 1"," 0000000306","0.83"
"4ba29b9f9e5732ed33761840f4ba6c53","2002","Pad 269 Well 1",,"1"
"4734ba6f3de83d861c3176a6273cac6d","273","Pad 150 Well 1"," 0000000103","0.77"
"211c1e0b83b9c69fa9c4bdede203c1e3","2175","Pad 189 Well 2"," 0000000208","1"
"3147da8ab4a0437c15ef51a5cc7f2dc4","2244","Pad 7 Well 2"," 0000000631","1"
"1145a30ff80745b56fb0cecf65305017","2199","Pad 399 Well 2"," 0000000865","1"
"67e103b0761e60683e83c559be18d40c","641","Pad 182 Well 1"," 0000000441","1"
"42ffcf057e133f94c1b7b5cf543ef3bd","1470","Well 169"," 0000000718","0.94"
"3621f1454cacf995530ea53652ddf8fb","787","Pad 254 Well 1",,"0.76"
"14ea0d5b0cf49525d1866cb1e95ada5d","2192","Pad 256 Well 1"," 0000000494","1"
"d1fe173d08e959397adf34b1d77e88d7","79","Pad 211 Well 1",,"0.87"
"e995f98d56967d946471af29d7bf99f1","734","Pad 170 Well 1"," 0000000540","0.83"
"9ad6aaed513b73148b7d49f70afcfb32","583","Pad 278 Well 1"," 0000000087","1"
"86df7dcfd896fcaf2674f757a2463eba","1486","Well 185"," 0000000706","1"
"c15da1f2b5e5ed6e6837a3802f0d1593","788","Pad 254 Well 2"," 0000000196","1"
"5a1e3a5aede16d438c38862cac1a78db","2123","Pad 69 Well 2"," 0000000538","1"
"3dd9424294b0292b6e89ea2bba2e1144","2236","Pad 91 Well 1"," 0000000221","0.87"
"743394beff4b1282ba735e5e3723ed74","2272","Pad 93 Well 1"," 0000000230","1"
"cfa0860e83a4c3a763a7e62d825349f7","259","Pad 145 Well 1",,"1"
"9fc3d7152ba9336a670e36d0ed79bc43","133","Pad 131 Well 1"," 0000000174","1"
"6c3cf77d52820cd0fe646d38bc2145ca","882","Pad 332 Well 1"," 0000000331","0.87"
"931af583573227f0220bc568c65ce104","2108","Pad 86 Well 1"," 0000000165","0.86"
"dfa92d8f817e5b08fcaafb50d03763cf","1568","Pad 394 Well 1"," 0000000848","0.91"
"46ba9f2a6976570b0353203ec4474217","284","Pad 150 Well 4"," 0000000123","0.83"
"77f959f119f4fb2321e9ce801e2f5163","1502","Well 195",,"0.92"
"4ffce04d92a4d6cb21c1494cdfcd6dc1","640","Pad 181 Well 2"," 0000000440","1"
"ed4227734ed75d343320b6a5fd16ce57","1579","Well 223"," 0000000666","0.75"
"31fefc0e570cb3860f2a6d4b38c6490d","187","Pad 271 Well 1"," 0000000356","0.98"
"82f2b308c3b01637c607ce05f52a2fed","725","Pad 248 Well 1"," 0000000622","0.92"
"0829424ffa0d3a2547b6c9622c77de03","1289","Pad 366 Well 2"," 0000000860","1"
"3b8a614226a953a8cd9526fca6fe9ba5","215","Pad 196 Well 1"," 0000000458","0.84"
"5e9f92a01c986bafcabbafd145520b13","645","Pad 309 Well 1"," 0000000363","0.81"
"d3a7f48c12e697d50c8a7ae7684644ef","2088","Pad 10 Well 1"," 0000000124","0.8"
"f8bf09f5fceaea80e1f864a1b48938bf","2064","Pad 41 Well 1"," 0000000042","0.95"
"2f2b265625d76a6704b08093c652fd79","334","Pad 122 Well 1"," 0000000036","1"
"08e6bea8e90ba87af3c9554d94db6579","1677","Pad 407 Well 2"," 0000000858","0.91"
"01931a6925d3de09e5f87419d9d55055","2113","Pad 43 Well 2"," 0000000171","1"
"ab541d874c7bc19ab77642849e02b89f","1482","Well 175"," 0000000703","1"
"c3e4035af2a1cde9f21e1ae1951ac80b","2164","Pad 45 Well 1"," 0000000143","1"
"8b4066554730ddfaa0266346bdc1b202","1090","Well 17"," 0000000887","1"
"0336dcbab05b9d5ad24f4333c7658a0e","195","Pad 296 Well 2"," 0000000407","0.96"
"3fe78a8acf5fda99de95303940a2420c","1128","Pad 353 Well 2"," 0000000847","0.97"
"2a50e9c2d6b89b95bcb416d6857f8b45","1320","Well 121",,"0.85"
"4f4adcbf8c6f66dcfc8a3282ac2bf10a","404","Pad 275 Well 2"," 0000000392","1"
"539fd53b59e3bb12d203f45a912eeaf2","237","Pad 35 Well 2"," 0000000272","0.77"
"8d5e957f297893487bd98fa830fa6413","147","Pad 200 Well 1"," 0000000464","0.81"
"98d6f58ab0dafbb86b083a001561bb34","873","Pad 130 Well 1"," 0000000019","1"
"dc6a70712a252123c40d2adba6a11d84","676","Pad 184 Well 3"," 0000000445","0.79"
"26588e932c7ccfa1df309280702fe1b5","1258","Pad 351 Well 1"," 0000000939","1"
"05546b0e38ab9175cd905eebcc6ebb76","2109","Pad 36 Well 1",,"0.78"
"e069ea4c9c233d36ff9c7f329bc08ff1","2297","Pad 97 Well 2"," 0000000635","0.92"
"7d6044e95a16761171b130dcb476a43e","1474","Well 158"," 0000000722","1"
"d2ddea18f00665ce8623e36bd4e3c7c5","73","Pad 213 Well 3"," 0000000614","1"
"dc09c97fd73d7a324bdbfe7c79525f64","1479","Well 172"," 0000000702","1"
"c182f930a06317057d31c73bb2fedd4f","2145","Pad 253 Well 2"," 0000000498","1"
"26657d5ff9020d2abefe558796b99584","96","Pad 237 Well 6"," 0000000371","1"
"2ba596643cbbbc20318224181fa46b28","957","Pad 281 Well 3"," 0000000341","1"
"03afdbd66e7929b125f8597834fa83a4","63","Pad 245 Well 1"," 0000000107","0.86"
"c24cd76e1ce41366a4bbe8a49b02a028","253","Pad 85 Well 1"," 0000000607","1"
"3bf55bbad370a8fcad1d09b005e278c2","1255","Pad 353 Well 3"," 0000000845","1"
"4b6538a44a1dfdc2b83477cd76dee98e","945","Pad 118 Well 1"," 0000000332","1"
"95f8d9901ca8878e291552f001f67692","2274","Pad 49 Well 1"," 0000000229","0.76"
"ce6c92303f38d297e263c7180f03d402","2253","Pad 5 Well 1"," 0000000219","0.89"
"51ef186e18dc00c2d31982567235c559","874","Pad 132 Well 1"," 0000000111","0.93"
"3b92d18aa7a6176dd37d372bc2f1eb71","2126","Pad 67 Well 1"," 0000000544","1"
"a869ccbcbd9568808b8497e28275c7c8","2131","Pad 64 Well 1"," 0000000559","1"
"a5e0ff62be0b08456fc7f1e88812af3d","1098","Well 18"," 0000000667","0.82"
"23c97e9cb93576e45d2feaf00d0e8502","2140","Pad 73 Well 1"," 0000000599","0.84"
"ddd9dda6bfaf0bb1525a8a27c3ee6131","2159","Pad 72 Well 1"," 0000000543","1"
"c361bc7b2c033a83d663b8d9fb4be56e","605","Pad 311 Well 3"," 0000000405","0.86"
"c8ed21db4f678f3b13b9d5ee16489088","722","Pad 175 Well 1"," 0000000564","1"
"7f24d240521d99071c93af3917215ef7","551","Pad 74 Well 2"," 0000000519","0.94"
"cdf1e288ca02272e717c9d5e4cb180bd","2194","Pad 256 Well 3"," 0000000496","0.84"
"e205ee2a5de471a70c1fd1b46033a75f","910","Pad 115 Well 1"," 0000000297","0.75"
"cd0dce8fca267bf1fb86cf43e18d5598","1383","Well 134"," 0000000741","1"
"b5c01503041b70d41d80e3dbe31bbd8c","2217","Pad 400 Well 1",,"1"
"d6ef5f7fa914c19931a55bb262ec879c","1114","Pad 350 Well 1"," 0000000935","0.89"
"2b38c2df6a49b97f706ec9148ce48d86","1150","Well 45"," 0000000677","1"
"192fc044e74dffea144f9ac5dc9f3395","668","Pad 204 Well 3"," 0000000180","1"
"9cf81d8026a9018052c429cc4e56739b","604","Pad 312 Well 2"," 0000000426","1"
"78b9cab19959e4af8ff46156ee460c74","1477","Well 170"," 0000000685","1"
"4d6b3e38b952600251ee92fe603170ff","2087","Pad 31 Well 1"," 0000000120","1"
"091d584fced301b442654dd8c23b3fc9","208","Pad 294 Well 2"," 0000000329","0.82"
"12b1e42dc0746f22cf361267de07073f","2179","Pad 396 Well 1"," 0000000946","0.97"
"fae0b27c451c728867a567e8c1bb4e53","666","Pad 204 Well 1"," 0000000177","0.93"
"9bb6dee73b8b0ca97466ccb24fff3139","2137","Pad 78 Well 2",,"1"
"6f4922f45568161a8cdf4ad2299f6d23","18","Pad 1 Well 4"," 0000000142","0.87"
"c70daf247944fe3add32218f914c75a6","1326","Well 118"," 0000000881","1"
"991de292e76f74f3c285b3f6d57958d5","1469","Well 168"," 0000000690","1"
"88a839f2f6f1427879fc33ee4acf4f66","2170","Pad 14 Well 1"," 0000000156","0.76"
"577ef1154f3240ad5b9b413aa7346a1e","235","Pad 279 Well 2"," 0000000410","0.81"
"15d4e891d784977cacbfcbb00c48f133","441","Pad 330 Well 1"," 0000000264","0.81"
"9a1158154dfa42caddbd0694a4e9bdc8","52","Pad 252 Well 1"," 0000000197","1"
"dca5672ff3444c7e997aa9a2c4eb2094","1589","Well 227"," 0000000728","1"
"1714726c817af50457d810aae9d27a2e","1493","Well 192"," 0000000713","0.87"
"4dcf435435894a4d0972046fc566af76","1507","Pad 389 Well 1",,"0.91"
"1c9ac0159c94d8d0cbedc973445af2da","156","Pad 250 Well 1"," 0000000286","0.8"
"83cdcec08fbf90370fcf53bdd56604ff","1478","Well 171"," 0000000701","1"
"6d9cb7de5e8ac30bd5e8734bc96a35c1","1466","Well 165"," 0000000693","1"
"6faa8040da20ef399b63a72d0e4ab575","329","Pad 152 Well 1"," 0000000031","1"
"bf62768ca46b6c3b5bea9515d1a1fc45","758","Pad 109 Well 1",,"1"
"a376033f78e144f494bfc743c0be3330","2271","Pad 361 Well 2"," 0000000954","0.88"
"3435c378bb76d4357324dd7e69f3cd18","599","Pad 223 Well 3"," 0000000468","1"
"51de85ddd068f0bc787691d356176df9","2269","Pad 397 Well 1"," 0000000952","0.88"
"4b0a59ddf11c58e7446c9df0da541a84","875","Pad 133 Well 1"," 0000000026","1"
"d9fc5b73a8d78fad3d6dffe419384e70","388","Pad 136 Well 1"," 0000000608","0.77"
"0d73a25092e5c1c9769a9f3255caa65a","2147","Pad 385 Well 2"," 0000000863","0.82"
"18d8042386b79e2c279fd162df0205c8","400","Pad 98 Well 2"," 0000000396","1"
"d395771085aab05244a4fb8fd91bf4ee","279","Pad 149 Well 6"," 0000000072","0.88"
"1651cf0d2f737d7adeab84d339dbabd3","438","Pad 107 Well 1"," 0000000333","1"
"e4873aa9a05cc5ed839561d121516766","1646","Pad 345 Well 2"," 0000000929","1"
"b0b183c207f46f0cca7dc63b2604f5cc","837","Pad 141 Well 2"," 0000000571","1"
"16ba72172e6a4f1de54d11ab6967e371","2063","Pad 6 Well 3"," 0000000041","1"
"210f760a89db30aa72ca258a3483cc7f","883","Pad 113 Well 1"," 0000000340","1"
"333ac5d90817d69113471fbb6e531bee","2161","Pad 81 Well 1"," 0000000561","1"
"e7f8a7fb0b77bcb3b283af5be021448f","716","Pad 222 Well 1"," 0000000620","1"
"2a38a4a9316c49e5a833517c45d31070","88","Pad 237 Well 2"," 0000000375","1"
"eed5af6add95a9a6f1252739b1ad8c24","439","Pad 107 Well 2"," 0000000335","0.78"
"a87ff679a2f3e71d9181a67b7542122c","4","Pad 315 Well 1"," 0000000260","1"
"a4f23670e1833f3fdb077ca70bbd5d66","260","Pad 145 Well 2"," 0000000032","1"
"5878a7ab84fb43402106c575658472fa","167","Pad 214 Well 1"," 0000000317","0.8"
"01f78be6f7cad02658508fe4616098a9","550","Pad 71 Well 2"," 0000000521","1"
"168908dd3227b8358eababa07fcaf091","956","Pad 280 Well 3"," 0000000274","0.93"
"489d0396e6826eb0c1e611d82ca8b215","1424","Well 143"," 0000000675","1"
"996a7fa078cc36c46d02f9af3bef918b","608","Pad 310 Well 1"," 0000000289","1"
"53e3a7161e428b65688f14b84d61c610","693","Pad 127 Well 2"," 0000000128","0.76"
"0aa1883c6411f7873cb83dacb17b0afc","191","Pad 183 Well 3"," 0000000448","1"
"3df1d4b96d8976ff5986393e8767f5b2","939","Pad 224 Well 1"," 0000000473","1"
"3937230de3c8041e4da6ac3246a888e8","2117","Pad 67 Well 2"," 0000000513","0.79"
"a284df1155ec3e67286080500df36a9a","1252","Well 85"," 0000000824","1"
"88bfcf02e7f554f9e9ea350b699bc6a7","2315","Pad 351 Well 3"," 0000000958","0.83"
"e655c7716a4b3ea67f48c6322fc42ed6","1492","Well 191",,"1"
"fed33392d3a48aa149a87a38b875ba4a","1004","Well 5"," 0000000650","1"
"e56954b4f6347e897f954495eab16a88","265","Pad 145 Well 3"," 0000000030","1"
"697e382cfd25b07a3e62275d3ee132b3","2158","Pad 62 Well 2"," 0000000605","1"
"a29d1598024f9e87beab4b98411d48ce","2112","Pad 88 Well 1"," 0000000170","1"
"f3ac63c91272f19ce97c7397825cc15f","2313","Pad 408 Well 1"," 0000000871","1"
"0d0fd7c6e093f7b804fa0150b875b868","408","Pad 276 Well 3"," 0000000383","0.75"
"3f67fd97162d20e6fe27748b5b372509","1218","Well 66",,"0.85"
"c9e1074f5b3f9fc8ea15d152add07294","104","Pad 212 Well 1"," 0000000615","0.95"
"66e8ba8216a1e152d72653d99a4f03ab","2265","Pad 95 Well 2"," 0000000227","0.92"
"b1d10e7bafa4421218a51b1e1f1b0ba2","209","Pad 185 Well 1"," 0000000449","0.94"
"f7664060cc52bc6f3d620bcedc94a4b6","266","Pad 145 Well 4"," 0000000020","1"
"3e89ebdb49f712c7d90d1b39e348bbbf","919","Pad 144 Well 2"," 0000000580","0.83"
"140f6969d5213fd0ece03148e62e461e","159","Pad 318 Well 3"," 0000000203","1"
"e94550c93cd70fe748e6982b3439ad3b","742","Pad 299 Well 1"," 0000000052","1"
"f187a23c3ee681ef6913f31fd6d6446b","1490","Well 189"," 0000000873","0.89"
"2cfd4560539f887a5e420412b370b361","1123","Pad 342 Well 1"," 0000000853","0.82"
"4079016d940210b4ae9ae7d41c4a2065","1287","Well 101"," 0000000820","0.75"
"c902b497eb972281fb5b4e206db38ee6","2133","Pad 77 Well 1"," 0000000565","1"
"66368270ffd51418ec58bd793f2d9b1b","431","Pad 106 Well 1",,"1"
"2bb232c0b13c774965ef8558f0fbd615","523","Pad 242 Well 1"," 0000000301","1"
"8df707a948fac1b4a0f97aa554886ec8","715","Pad 177 Well 1"," 0000000626","0.97"
"67f7fb873eaf29526a11a9b7ac33bfac","445","Pad 218 Well 1"," 0000000190","1"
"8613985ec49eb8f757ae6439e879bb2a","90","Pad 244 Well 1"," 0000000377","1"
"e46de7e1bcaaced9a54f1e9d0d2f800d","397","Pad 216 Well 2"," 0000000189","0.89"
"6a9aeddfc689c1d0e3b9ccc3ab651bc5","282","Pad 150 Well 2"," 0000000105","0.82"
"55c567fd4395ecef6d936cf77b8d5b2b","1497","Well 181"," 0000000715","0.85"
"1e8c391abfde9abea82d75a2d60278d4","2154","Pad 47 Well 1"," 0000000163","0.91"
"e00da03b685a0dd18fb6a08af0923de0","139","Pad 282 Well 2"," 0000000164","1"
"cb8acb1dc9821bf74e6ca9068032d623","1530","Well 208"," 0000000885","1"
"3cec07e9ba5f5bb252d13f5f431e4bbb","247","Pad 160 Well 1"," 0000000078","0.88"
"9dfcd5e558dfa04aaf37f137a1d9d3e5","311","Pad 68 Well 1"," 0000000281","1"
"bbcbff5c1f1ded46c25d28119a85c6c2","405","Pad 275 Well 3"," 0000000393","0.87"
"2b8eba3cb0d0f1d761cb74d94a5ace36","2268","Pad 372 Well 3"," 0000000951","1"
"801272ee79cfde7fa5960571fee36b9b","2092","Pad 28 Well 1"," 0000000130","0.96"
"d14220ee66aeec73c49038385428ec4c","714","Pad 215 Well 2"," 0000000619","0.88"
"83adc9225e4deb67d7ce42d58fe5157c","1358","Pad 380 Well 2"," 0000000937","0.85"
"795c7a7a5ec6b460ec00c5841019b9e9","826","Pad 284 Well 1"," 0000000523","1"
"ef4e3b775c934dada217712d76f3d51f","955","Pad 281 Well 2"," 0000000413","1"
"5d44ee6f2c3f71b73125876103c8f6c4","617","Pad 305 Well 2"," 0000000285","0.92"
"c8ba76c279269b1c6bc8a07e38e78fa4","1214","Pad 407 Well 1"," 0000000857","1"
"fc3cf452d3da8402bebb765225ce8c0e","842","Pad 142 Well 1"," 0000000595","1"
"33ebd5b07dc7e407752fe773eed20635","1341","Pad 373 Well 2"," 0000000928","1"
"38db3aed920cf82ab059bfccbd02be6a","246","Pad 162 Well 1"," 0000000525","1"
"41bfd20a38bb1b0bec75acf0845530a7","1094","Pad 345 Well 1",,"0.75"
"b5dc4e5d9b495d0196f61d45b26ef33e","667","Pad 204 Well 2"," 0000000179","0.97"
"8e98d81f8217304975ccb23337bb5761","307","Pad 274 Well 3"," 0000000391","0.94"
"c7e1249ffc03eb9ded908c236bd1996d","87","Pad 237 Well 1",,"0.89"
"d1dc3a8270a6f9394f88847d7f0050cf","1619","Pad 398 Well 1",,"1"
"a7aeed74714116f3b292a982238f83d2","576","Pad 209 Well 1"," 0000000004","0.98"
"08f90c1a417155361a5c4b8d297e0d78","2000","Pad 236 Well 2"," 0000000493","0.81"
"426f990b332ef8193a61cc90516c1245","2318","Pad 102 Well 1"," 0000000234","0.83"
"0ae3f79a30234b6c45a6f7d298ba1310","2065","Pad 56 Well 2"," 0000000044","0.95"
"35cf8659cfcb13224cbd47863a34fc58","796","Pad 288 Well 3",,"0.84"
"a9a1d5317a33ae8cef33961c34144f84","585","Pad 289 Well 1"," 0000000088","0.83"
"54ff9e9e3a2ec0300d4ce11261f5169f","2080","Pad 53 Well 1"," 0000000080","1"
"e3796ae838835da0b6f6ea37bcf8bcb7","281","Pad 146 Well 3"," 0000000104","0.81"
"90794e3b050f815354e3e29e977a88ab","936","Pad 246 Well 1"," 0000000192","0.8"
"757b505cfd34c64c85ca5b5690ee5293","201","Pad 328 Well 1"," 0000000316","0.8"
"d490d7b4576290fa60eb31b5fc917ad1","600","Pad 223 Well 1"," 0000000416","0.88"
"d47268e9db2e9aa3827bba3afb7ff94a","2005","Pad 346 Well 3"," 0000000942","0.9"
"289dff07669d7a23de0ef88d2f7129e7","234","Pad 279 Well 1"," 0000000409","0.87"
"39059724f73a9969845dfe4146c5660e","270","Pad 146 Well 2"," 0000000100","0.97"
"c203d8a151612acf12457e4d67635a95","442","Pad 330 Well 2"," 0000000386","0.78"
"35f4a8d465e6e1edc05f3d8ab658c551","78","Pad 206 Well 1"," 0000000461","0.76"
"5c572eca050594c7bc3c36e7e8ab9550","743","Pad 299 Well 2"," 0000000053","1"
"4daa3db355ef2b0e64b472968cb70f0d","934","Pad 155 Well 1"," 0000000108","1"
"cfee398643cbc3dc5eefc89334cacdc1","478","Pad 210 Well 2"," 0000000003","1"
"01161aaa0b6d1345dd8fe4e481144d84","236","Pad 279 Well 3"," 0000000411","0.77"
"02b1be0d48924c327124732726097157","2121","Pad 62 Well 1"," 0000000527","0.9"
"6f3ef77ac0e3619e98159e9b6febf557","210","Pad 185 Well 2",,"0.75"
"9778d5d219c5080b9a6a17bef029331c","82","Pad 211 Well 3"," 0000000350","0.83"
"9b8619251a19057cff70779273e95aa6","130","Pad 324 Well 1"," 0000000293","0.77"
"1e056d2b0ebd5c878c550da6ac5d3724","918","Pad 144 Well 1"," 0000000579","0.91"
"daca41214b39c5dc66674d09081940f0","588","Pad 259 Well 4"," 0000000090","0.93"
"eecca5b6365d9607ee5a9d336962c534","185","Pad 272 Well 1"," 0000000432","0.94"
"36660e59856b4de58a219bcf4e27eba3","262","Pad 221 Well 2"," 0000000184","0.84"
"b20bb95ab626d93fd976af958fbc61ba","1191","Well 60"," 0000000838","1"
"f6c79f4af478638c39b206ec30ab166b","2256","Pad 89 Well 2"," 0000000225","0.78"
"06997f04a7db92466a2baa6ebc8b872d","762","Pad 154 Well 1"," 0000000033","1"
"ce78d1da254c0843eb23951ae077ff5f","829","Pad 80 Well 2"," 0000000558","1"
"f15d337c70078947cfe1b5d6f0ed3f13","2130","Pad 69 Well 1"," 0000000554","1"
"9766527f2b5d3e95d4a733fcfb77bd7e","165","Pad 121 Well 1"," 0000000057","0.96"
"fb7b9ffa5462084c5f4e7e85a093e6d7","357","Pad 195 Well 1"," 0000000486","0.88"
"d82c8d1619ad8176d665453cfb2e55f0","53","Pad 252 Well 2"," 0000000198","0.81"
"06eb61b839a0cefee4967c67ccb099dc","310","Pad 151 Well 2"," 0000000077","1"
"2d3acd3e240c61820625fff66a19938f","2258","Pad 6 Well 2"," 0000000223","1"
"02522a2b2726fb0a03bb19f2d8d9524d","134","Pad 134 Well 1"," 0000000585","0.81"
"087408522c31eeb1f982bc0eaf81d35f","510","Pad 169 Well 1"," 0000000098","0.99"
"eb163727917cbba1eea208541a643e74","211","Pad 186 Well 1"," 0000000451","1"
"1819932ff5cf474f4f19e7c7024640c2","2160","Pad 81 Well 2"," 0000000560","1"
"f457c545a9ded88f18ecee47145a72c0","49","Pad 317 Well 1"," 0000000258","0.75"
"9232fe81225bcaef853ae32870a2b0fe","953","Pad 280 Well 2"," 0000000280","1"
"d8330f857a17c53d217014ee776bfd50","2044","Pad 258 Well 1"," 0000000009","1"
"d18f655c3fce66ca401d5f38b48c89af","479","Pad 243 Well 1"," 0000000479","1"
"1543843a4723ed2ab08e18053ae6dc5b","395","Pad 205 Well 1"," 0000000187","1"
"1efa39bcaec6f3900149160693694536","850","Pad 129 Well 2"," 0000000310","1"
"0e55666a4ad822e0e34299df3591d979","1347","Well 126"," 0000000673","0.83"
"ac796a52db3f16bbdb6557d3d89d1c5a","1473","Well 157"," 0000000721","0.77"
"7380ad8a673226ae47fce7bff88e9c33","497","Pad 255 Well 1"," 0000000542","1"
"f5deaeeae1538fb6c45901d524ee2f98","584","Pad 278 Well 2"," 0000000086","1"
"3a835d3215755c435ef4fe9965a3f2a0","768","Pad 233 Well 2"," 0000000403","0.81"
"cfa5301358b9fcbe7aa45b1ceea088c6","1500","Well 193"," 0000000689","1"
"9b04d152845ec0a378394003c96da594","231","Pad 251 Well 1"," 0000000193","1"
"dc82d632c9fcecb0778afbc7924494a6","607","Pad 312 Well 3"," 0000000415","0.86"
"ca0daec69b5adc880fb464895726dbdf","2193","Pad 256 Well 2"," 0000000495","1"
"0c8ce55163055c4da50a81e0a273468c","1503","Well 196"," 0000000697","1"
"68d309812548887400e375eaa036d2f1","2317","Pad 351 Well 5"," 0000000960","1"
"b3967a0e938dc2a6340e258630febd5a","344","Pad 97 Well 1"," 0000000582","1"
"49c0b9d84c2a16fcaf9d25694fda75e1","2310","Pad 359 Well 2"," 0000000889","1"
"ae0eb3eed39d2bcef4622b2499a05fe6","708","Pad 249 Well 2"," 0000000625","1"
"6364d3f0f495b6ab9dcf8d3b5c6e0b01","32","Pad 190 Well 3"," 0000000437","1"
"5227b6aaf294f5f027273aebf16015f2","2127","Pad 54 Well 1"," 0000000546","1"
"3cef96dcc9b8035d23f69e30bb19218a","949","Pad 217 Well 2"," 0000000483","0.88"
"158f3069a435b314a80bdcb024f8e422","313","Pad 231 Well 1"," 0000000404","0.97"
"2dea61eed4bceec564a00115c4d21334","672","Pad 234 Well 1"," 0000000266","0.78"
"cdc0d6e63aa8e41c89689f54970bb35f","619","Pad 192 Well 1",,"1"
"e21e4e58ad9ab56e8a4634046da90113","2148","Pad 59 Well 1"," 0000000535","1"
"b2eb7349035754953b57a32e2841bda5","306","Pad 274 Well 2"," 0000000385","0.79"
"f8c1f23d6a8d8d7904fc0ea8e066b3bb","396","Pad 216 Well 1"," 0000000188","1"
"0771fc6f0f4b1d7d1bb73bbbe14e0e31","1632","Well 245"," 0000000818","1"
"d86ea612dec96096c5e0fcc8dd42ab6d","603","Pad 312 Well 1"," 0000000425","1"
"3416a75f4cea9109507cacd8e2f2aefc","41","Pad 321 Well 2"," 0000000420","1"
"2723d092b63885e0d7c260cc007e8b9d","109","Pad 208 Well 2"," 0000000610","1"
"85d8ce590ad8981ca2c8286f79f59954","197","Pad 297 Well 2"," 0000000414","0.79"
"352407221afb776e3143e8a1a0577885","877","Pad 235 Well 1"," 0000000313","1"
"fde9264cf376fffe2ee4ddf4a988880d","577","Pad 247 Well 1"," 0000000005","0.97"
"1385974ed5904a438616ff7bdb3f7439","140","Pad 159 Well 1",,"0.97"
"854d6fae5ee42911677c739ee1734486","202","Pad 273 Well 1"," 0000000431","0.94"
"74071a673307ca7459bcf75fbd024e09","477","Pad 210 Well 1"," 0000000008","1"
"571d3a9420bfd9219f65b643d0003bf4","1475","Well 159"," 0000000723","0.77"
"c058f544c737782deacefa532d9add4c","359","Pad 194 Well 1"," 0000000453","1"
"ccb1d45fb76f7c5a0bf619f979c6cf36","549","Pad 303 Well 1"," 0000000304","1"
"6855456e2fe46a9d49d3d3af4f57443d","336","Pad 90 Well 1"," 0000000334","0.92"
"17c276c8e723eb46aef576537e9d56d0","670","Pad 228 Well 1"," 0000000255","0.78"
"7fb8ceb3bd59c7956b1df66729296a4c","1485","Well 184"," 0000000686","0.81"
"f8c0c968632845cd133308b1a494967f","2060","Pad 40 Well 2"," 0000000035","0.79"
"0f840be9b8db4d3fbd5ba2ce59211f55","959","Pad 281 Well 5",,"1"
"3546ab441e56fa333f8b44b610d95691","1325","Pad 373 Well 1"," 0000000926","0.83"
"6490791e7abf6b29a381288cc23a8223","1499","Well 183"," 0000000716","1"
"f3bd5ad57c8389a8a1a541a76be463bf","1372","Well 135"," 0000000831","1"
"a3c65c2974270fd093ee8a9bf8ae7d0b","108","Pad 208 Well 1"," 0000000550","1"
"838e8afb1ca34354ac209f53d90c3a43","1251","Well 84"," 0000000758","1"
"8d6dc35e506fc23349dd10ee68dabb64","940","Pad 224 Well 2"," 0000000472","0.84"
"ec8956637a99787bd197eacd77acce5e","102","Pad 207 Well 1"," 0000000181","0.85"
"5cce8dede893813f879b873962fb669f","1527","Well 206"," 0000000808","1"
"ced556cd9f9c0c8315cfbe0744a3baf0","1498","Well 182"," 0000000714","1"
"0245952ecff55018e2a459517fdb40e3","1467","Well 166"," 0000000694","1"
"cbef46321026d8404bc3216d4774c8a9","2075","Pad 41 Well 2"," 0000000064","1"
"28f0b864598a1291557bed248a998d4e","394","Pad 198 Well 4"," 0000000152","0.93"
"6bc24fc1ab650b25b4114e93a98f1eba","736","Pad 215 Well 3"," 0000000568","0.86"
"a1d7311f2a312426d710e1c617fcbc8c","2098","Pad 4 Well 1"," 0000000138","0.85"
"aff1621254f7c1be92f64550478c56e6","853","Pad 111 Well 1"," 0000000400","1"
"68d13cf26c4b4f4f932e3eff990093ba","1224","Well 71"," 0000000814","1"
"d6baf65e0b240ce177cf70da146c8dc8","264","Pad 220 Well 2"," 0000000186","0.92"
"0537fb40a68c18da59a35c2bfe1ca554","744","Pad 153 Well 1"," 0000000039","0.77"
"afe434653a898da20044041262b3ac74","1444","Well 151"," 0000000766","0.76"
"013d407166ec4fa56eb1e1f8cbe183b9","138","Pad 282 Well 1"," 0000000109","1"
"38651c4450f87348fcbe1f992746a954","2254","Pad 5 Well 2"," 0000000220","0.84"
"bd5af7cd922fd2603be4ee3dc43b0b77","2128","Pad 61 Well 1"," 0000000547","1"
