batterymerrickid,batteryname
"319","Battery 319"
"320","Battery 320"
"321","Battery 321"
"322","Battery 322"
"323","Battery 323"
"324","Battery 324"
"325","Battery 325"
"326","Battery 326"
"327","Battery 327"
"328","Battery 328"
"329","Battery 329"
"330","Battery 330"
"331","Battery 331"
"332","Battery 332"
"333","Battery 333"
"334","Battery 334"
"335","Battery 335"
"336","Battery 336"
"337","Battery 337"
"338","Battery 338"
"339","Battery 339"
"340","Battery 340"
"341","Battery 341"
"342","Battery 342"
"343","Battery 343"
"344","Battery 344"
"345","Battery 345"
"346","Battery 346"
"347","Battery 347"
"348","Battery 348"
"349","Battery 349"
"350","Battery 350"
"351","Battery 351"
"352","Battery 352"
"353","Battery 353"
"354","Battery 354"
"355","Battery 355"
"356","Battery 356"
"357","Battery 357"
"358","Battery 358"
"359","Battery 359"
"360","Battery 360"
"361","Battery 361"
"362","Battery 362"
"363","Battery 363"
"364","Battery 364"
"365","Battery 365"
"366","Battery 366"
"367","Battery 367"
"368","Battery 368"
"369","Battery 369"
"370","Battery 370"
"371","Battery 371"
"372","Battery 372"
"373","Battery 373"
"374","Battery 374"
"375","Battery 375"
"376","Battery 376"
"377","Battery 377"
"378","Battery 378"
"379","Battery 379"
"380","Battery 380"
"381","Battery 381"
"382","Battery 382"
"383","Battery 383"
"384","Battery 384"
"385","Battery 385"
"386","Battery 386"
"387","Battery 387"
"388","Battery 388"
"389","Battery 389"
"390","Battery 390"
"391","Battery 391"
"392","Battery 392"
"393","Battery 393"
"394","Battery 394"
"395","Battery 395"
"396","Battery 396"
"397","Battery 397"
"398","Battery 398"
"399","Battery 399"
"400","Battery 400"
"401","Battery 401"
"402","Battery 402"
"403","Battery 403"
"404","Battery 404"
"405","Battery 405"
"406","Battery 406"
"407","Battery 407"
"408","Battery 408"
"409","Battery 409"
"410","Battery 410"
"411","Battery 411"
"412","Battery 412"
"413","Battery 413"
"414","Battery 414"
"415","Battery 415"
"416","Battery 416"
"417","Battery 417"
"418","Battery 418"
"419","Battery 419"
"420","Battery 420"
"421","Battery 421"
"422","Battery 422"
"423","Battery 423"
"424","Battery 424"
"425","Battery 425"
"426","Battery 426"
"427","Battery 427"
